id;client_id;marca;carro;modelo;year;color;plate;chassis;km;fuel_type;notes;is_active;created_at;updated_at;versao;ultimo_km;origem_contato
;16773;FIAT;ARGO 1.0;;21|22;;RNX2F18;;;3975;;;;;;;
;16774;FIAT;ARGO 1.0;;21|22;;RNX2F18;;;3975;;;;;;;
;16775;FIAT;FIORINO ENDURANCE;;21|21;;FXZ4A36;;;3975;;;;;;;
;16776;FIAT;DOBLO ESSENCE 7L E;;21|21;;RTV3D34;;;3975;;;;;;;
;16777;HONDAA;HR-V EX CVT;HONDA/HR-V EX CVT;15|16;PRATA;FPP5487;93HRV2850GZ132296;;19;;;;;;;
;16778;CHEV;ONIX 10MT LT2;CHEV/ONIX 10MT LT2;21|21;PRETA;RMJ7A28;9BGEB48A0MG188275;;5826;;;;;;;
;16779;PEUGEOT;208 ALLURE 1AT;;21|22;;RTL4G98;;;3975;;;;;;;
;16780;;;;|;;GHW8D64;;;3975;;;;;;;
;16781;HYUNDAI;HB20;;21|22;;GHW8D64;;;3975;;;;;;;
;16782;GM;SPIN 1.8;;17|17;;CGGGQ2568;;;6595;;;;;;;
;16783;CHEV;TRACKER T A LT;;21|22;;RLM6H39;;;3975;;;;;;;
;16784;HYUNDAI;HB20 10M SENSE;;22|22;;RTU4B18;;;3975;;;;;;;
;16785;HYUNDAI;HB20X 16A EVOLUT;;21|22;;RTJ9E18;;;3975;;;;;;;
;16786;FIAT;MOBI LIKE;;21|22;;RNS9D22;;;3975;;;;;;;
;16787;FIAT/FIORINO HD WK E;FIAT/FIORINO HD WK E;FIAT/FIORINO HD WK E;21|21;BRANCA;RFS0E35;9BD2651JHM9167579;;3975;;;;;;;
;16788;JEEP;RENEGADE 1.8 AUTOM.;;21|21;;RTH6B36;;;3975;;;;;;;
;16789;;SIENA 1.4;;21|21;;RTT1F58;;;3975;;;;;;;
;16790;FIAT;MOBI LIKE FLEX;1.0 8V C AR ;21|21;BRANCA;RML6H84;9BD341ACXMY719137;;192;;;;;;;
;16791;;RENEGADE SPORT AT;JEEP/RENEGADE SPORT AT;21|21;PRETA;RMU7E08;98861115XMK397648;;3788;;;;;;;
;16792;VOLKSVAGEN;VOYAGE;;22|22;;EKU0D91;;;3975;;;;;;;
;16793;;KICKS ADVANCE CVT;;22|22;;GFC2G64;;;3975;;;;;;;
;16794;;HB20 10M EVOLUTI;;22|22;;FNP0I11;;;3975;;;;;;;
;16795;GM;CLASSIC;I/GM CLASSIC LIFE;08|08;;DZV9214;8AGSA19908R150903;;6596;;;;;;;
;16796;;COMPASS LONGITUDE F;JEEP/COMPASS LONGITUDE F;20|21;CINZA;RFI8G93;98867512WMKK26368;;3975;;;;;;;
;16797;;MOBI LIKE;FIAT/MOBI LIKE;21|22;VERMELHA;RNR7C76;9BD341ACXNY766315;;3975;;;;;;;
;16798;;PULSE AUDACE TF200;;22|22;;RUC0C10;;;3975;;;;;;;
;16799;;RENEGADE SPORT AT;JEEP/RENEGADE SPORT AT;21|21;PRATA;RNO6D83;98861115XMK426672;;3975;;;;;;;
;16800;HYUNDAI;HB20;;22|22;;FKC5I41;;;3975;;;;;;;
;16801;BMW;328I ACTIVE FLEX;BMW/328I ACTIVE FLEX;15|15;PRETA;FUX1574;98M3A5003F4A04829;;6597;;;;;;;
;16802;;208 ACTIVE AT1;;22|23;;RUH3B78;;;3975;;;;;;;
;16803;;C4CACTUS FEEL AT;;21|22;;GHE0B73;;;3975;;;;;;;
